Algorithm,Processors,Avg_Latency(us)
0,4,17.64
0,8,6.22
0,12,2717.70
0,16,7.05
0,20,4921.88
0,24,2753.81
0,28,2823.81
0,32,6158.78
0,36,19958.98
0,40,20245.08
0,44,19861.48
0,48,2651.19
1,4,264.78
1,8,25.86
1,12,46.35
1,16,98.70
1,20,65.85
1,24,91.52
1,28,9166.71
1,32,2022.18
1,36,9498.99
1,40,2078.78
1,44,1777.48
1,48,1960.98
2,4,20.41
2,8,211.56
2,12,375.60
2,16,568.13
2,20,715.05
2,24,1000.58
2,28,962.46
2,32,1304.02
2,36,1492.01
2,40,12691.39
2,44,6095.44
2,48,2109.09
4,4,146.60
4,8,7.03
4,12,5.68
4,16,4.14
4,20,11.38
4,24,16.64
4,28,23247.22
4,32,32747.82
4,36,20094.79
4,40,11705.63
4,44,17773.23
4,48,18646.03
0,4,4846.29
0,8,5.65
0,12,2729.97
0,16,11.06
0,20,4934.41
0,24,2836.38
0,28,2857.96
0,32,8458.68
0,36,22350.98
0,40,18047.76
0,44,19735.72
0,48,12427.16
1,4,31.76
1,8,26.30
1,12,39.74
1,16,46.49
1,20,65.22
1,24,77.08
1,28,3646.29
1,32,2033.68
1,36,2277.78
1,40,7725.66
1,44,1844.01
1,48,7301.10
2,4,14.32
2,8,207.93
2,12,376.30
2,16,540.25
2,20,736.13
2,24,1109.51
2,28,993.40
2,32,1309.69
2,36,1479.60
2,40,1702.05
2,44,1914.74
2,48,2107.79
4,4,61.06
4,8,6.42
4,12,5.07
4,16,7.86
4,20,12.41
4,24,8.62
4,28,26179.02
4,32,29470.44
4,36,24084.96
4,40,13030.37
4,44,14084.63
4,48,15116.65
0,4,5.16
0,8,10.50
0,12,2733.22
0,16,6.54
0,20,4969.29
0,24,2768.09
0,28,2900.42
0,32,5697.92
0,36,18395.68
0,40,15926.15
0,44,22817.29
0,48,8490.41
1,4,14.16
1,8,26.20
1,12,87.26
1,16,46.19
1,20,66.56
1,24,78.17
1,28,9706.26
1,32,7790.82
1,36,9244.25
1,40,8549.86
1,44,2047.23
1,48,1961.28
2,4,13.75
2,8,207.59
2,12,364.96
2,16,629.08
2,20,694.85
2,24,958.67
2,28,934.54
2,32,1301.78
2,36,1508.87
2,40,8235.77
2,44,1902.35
2,48,2110.23
4,4,18.17
4,8,4.39
4,12,4.72
4,16,12.09
4,20,7.64
4,24,13.50
4,28,37299.65
4,32,30693.74
4,36,26020.75
4,40,13284.01
4,44,11454.92
4,48,26985.27
0,4,22.41
0,8,4.61
0,12,2823.63
0,16,6.76
0,20,4895.87
0,24,2741.16
0,28,2856.75
0,32,7098.61
0,36,15493.68
0,40,14068.27
0,44,19685.44
0,48,10002.81
1,4,10778.83
1,8,24.92
1,12,44.51
1,16,55.63
1,20,67.45
1,24,74.55
1,28,9204.67
1,32,7700.14
1,36,1875.18
1,40,1965.31
1,44,1817.46
1,48,1679.19
2,4,28.43
2,8,214.53
2,12,363.14
2,16,655.98
2,20,725.00
2,24,922.50
2,28,954.76
2,32,1320.95
2,36,1542.84
2,40,1700.42
2,44,8066.66
2,48,2099.16
4,4,296.70
4,8,8.46
4,12,4.19
4,16,5.75
4,20,14.05
4,24,11.05
4,28,29115.99
4,32,34607.43
4,36,19517.70
4,40,27537.81
4,44,9870.12
4,48,20078.04
0,4,36.20
0,8,5.17
0,12,2725.49
0,16,15.01
0,20,4937.31
0,24,2737.23
0,28,2818.15
0,32,6766.46
0,36,20475.39
0,40,15060.45
0,44,11721.73
0,48,7304.89
1,4,31.06
1,8,24.92
1,12,42.26
1,16,46.45
1,20,82.76
1,24,69.23
1,28,9525.52
1,32,2014.21
1,36,2164.80
1,40,8392.84
1,44,8110.18
1,48,1748.16
2,4,19.92
2,8,209.76
2,12,370.79
2,16,553.22
2,20,742.09
2,24,876.32
2,28,911.00
2,32,1313.77
2,36,1485.89
2,40,1692.19
2,44,1880.01
2,48,2115.12
4,4,267.91
4,8,5.89
4,12,4.90
4,16,4.82
4,20,6.07
4,24,14.08
4,28,30917.34
4,32,20041.17
4,36,21778.38
4,40,18419.66
4,44,11039.51
4,48,22287.33
0,4,8962.26
0,8,4.49
0,12,2733.94
0,16,6.53
0,20,4928.77
0,24,2769.10
0,28,2820.06
0,32,3384.76
