Algorithm,Processors,Size(bytes),Avg_Latency(us)
0,2,1,7.90
0,2,2,1.00
0,2,4,0.21
0,2,8,0.16
0,2,16,0.16
0,2,32,0.17
0,2,64,0.17
0,2,128,1.46
0,2,256,5.87
0,2,512,1.29
0,2,1024,1.32
0,2,2048,1.66
0,2,4096,4.06
0,2,8192,4.88
0,2,16384,5.45
0,2,32768,6.04
0,2,65536,7.36
0,2,131072,14.29
0,2,262144,26.84
0,2,524288,41.45
0,2,1048576,88.23
0,4,1,1.30
0,4,2,0.32
0,4,4,0.26
0,4,8,0.27
0,4,16,0.29
0,4,32,1.03
0,4,64,0.85
0,4,128,2.77
0,4,256,5.28
0,4,512,2.81
0,4,1024,2.72
0,4,2048,5.23
0,4,4096,7.22
0,4,8192,10.41
0,4,16384,5.54
0,4,32768,6.61
0,4,65536,11.54
0,4,131072,22.97
0,4,262144,49.05
0,4,524288,87.14
0,4,1048576,263.58
0,8,1,1153.09
0,8,2,0.46
0,8,4,0.94
0,8,8,0.91
0,8,16,1.06
0,8,32,1.66
0,8,64,0.60
0,8,128,8.25
0,8,256,5.24
0,8,512,6.55
0,8,1024,6.20
0,8,2048,10.26
0,8,4096,15.17
0,8,8192,17.73
0,8,16384,18.22
0,8,32768,11.15
0,8,65536,20.78
0,8,131072,51.43
0,8,262144,108.49
0,8,524288,236.40
0,8,1048576,503.41
0,16,1,3.54
0,16,2,1.87
0,16,4,0.82
0,16,8,1.05
0,16,16,0.58
0,16,32,1.28
0,16,64,2.05
0,16,128,7.88
0,16,256,11.62
0,16,512,7.93
0,16,1024,9.92
0,16,2048,11.60
0,16,4096,17.68
0,16,8192,27.40
0,16,16384,23.47
0,16,32768,34.10
0,16,65536,66.08
0,16,131072,143.17
0,16,262144,259.42
0,16,524288,565.91
0,16,1048576,1714.79
0,32,1,6.68
0,32,2,3.00
0,32,4,1.73
0,32,8,1.59
0,32,16,1.49
0,32,32,1.54
0,32,64,2.65
0,32,128,10.72
0,32,256,9.59
0,32,512,10.51
0,32,1024,16.47
0,32,2048,18.86
0,32,4096,23.62
0,32,8192,29.45
0,32,16384,19.34
0,32,32768,36.37
0,32,65536,59.70
0,32,131072,103.42
0,32,262144,271.08
0,32,524288,528.30
0,32,1048576,1090.95
0,48,1,13.25
0,48,2,5.27
0,48,4,3.53
0,48,8,3.03
0,48,16,6.93
0,48,32,3.46
0,48,64,3.05
0,48,128,10.95
0,48,256,10.57
0,48,512,12.22
0,48,1024,13.55
0,48,2048,18.64
0,48,4096,25.80
0,48,8192,33.89
0,48,16384,29.53
0,48,32768,39.35
0,48,65536,70.27
0,48,131072,143.14
0,48,262144,289.05
0,48,524288,622.34
0,48,1048576,1232.52
0,64,1,2.55
0,64,2,9.02
0,64,4,1.41
0,64,8,1.13
0,64,16,1.67
0,64,32,1.72
0,64,64,2.94
0,64,128,10.57
0,64,256,12.95
0,64,512,10.69
0,64,1024,10.41
0,64,2048,15.72
0,64,4096,32.32
0,64,8192,34.61
0,64,16384,30.18
0,64,32768,43.85
0,64,65536,73.29
0,64,131072,135.08
0,64,262144,304.84
0,64,524288,736.27
0,64,1048576,1142.95
0,96,1,158.29
0,96,2,10.48
0,96,4,2.19
0,96,8,2.59
0,96,16,3.44
0,96,32,2.64
0,96,64,3.89
0,96,128,12.88
0,96,256,16.91
0,96,512,15.96
0,96,1024,22.80
0,96,2048,28.41
0,96,4096,35.67
0,96,8192,40.10
0,96,16384,32.08
0,96,32768,47.20
0,96,65536,81.11
0,96,131072,159.21
0,96,262144,325.73
0,96,524288,926.69
0,96,1048576,1349.47
0,128,1,3.29
0,128,2,23.94
0,128,4,4.63
0,128,8,5.16
0,128,16,4.37
0,128,32,5.06
0,128,64,5.74
0,128,128,17.36
0,128,256,23.85
0,128,512,24.83
0,128,1024,35.33
0,128,2048,34.70
0,128,4096,46.16
0,128,8192,62.68
0,128,16384,89.45
0,128,32768,175.97
0,128,65536,122.15
0,128,131072,248.67
0,128,262144,392.48
0,128,524288,888.53
0,128,1048576,1905.68
0,176,1,35.41
0,176,2,15.06
0,176,4,10.48
0,176,8,5.88
0,176,16,5.15
0,176,32,7.11
0,176,64,15.88
0,176,128,15.88
0,176,256,25.99
0,176,512,18.31
