Algorithm,Processors,Size(bytes),Avg_Latency(us)
0,4,1,2.31
0,4,2,0.35
0,4,4,0.32
0,4,8,0.29
0,4,16,0.41
0,4,32,1.62
0,4,64,0.48
0,4,128,4.48
0,4,256,8.47
0,4,512,4.66
0,4,1024,7.51
0,4,2048,9.53
0,4,4096,16.61
0,4,8192,20.76
0,4,16384,6.20
0,4,32768,9.73
0,4,65536,15.36
0,4,131072,28.06
0,4,262144,55.45
0,4,524288,114.99
0,4,1048576,261.29
0,8,1,1.70
0,8,2,0.56
0,8,4,1.93
0,8,8,1.52
0,8,16,0.75
0,8,32,0.78
0,8,64,0.95
0,8,128,7.67
0,8,256,7.27
0,8,512,7.60
0,8,1024,11.38
0,8,2048,12.12
0,8,4096,24.35
0,8,8192,31.61
0,8,16384,14.05
0,8,32768,18.39
0,8,65536,31.77
0,8,131072,62.60
0,8,262144,117.33
0,8,524288,234.23
0,8,1048576,464.72
0,12,1,30.51
0,12,2,1.55
0,12,4,2.92
0,12,8,2.34
0,12,16,1.99
0,12,32,2.04
0,12,64,1.45
0,12,128,10.04
0,12,256,18.57
0,12,512,12.40
0,12,1024,13.54
0,12,2048,20.90
0,12,4096,33.71
0,12,8192,41.29
0,12,16384,16.59
0,12,32768,27.92
0,12,65536,48.11
0,12,131072,91.30
0,12,262144,179.06
0,12,524288,357.25
0,12,1048576,704.70
0,16,1,1.28
0,16,2,4.41
0,16,4,6.24
0,16,8,1.10
0,16,16,1.35
0,16,32,1.63
0,16,64,1.44
0,16,128,11.42
0,16,256,11.04
0,16,512,12.46
0,16,1024,11.97
0,16,2048,22.11
0,16,4096,36.53
0,16,8192,42.32
0,16,16384,22.01
0,16,32768,35.46
0,16,65536,60.99
0,16,131072,112.94
0,16,262144,209.43
0,16,524288,429.20
0,16,1048576,1003.98
0,20,1,57.56
0,20,2,1.98
0,20,4,3.83
0,20,8,2.41
0,20,16,3.76
0,20,32,4.14
0,20,64,2.96
0,20,128,14.92
0,20,256,20.43
0,20,512,14.48
0,20,1024,19.26
0,20,2048,24.20
0,20,4096,39.47
0,20,8192,50.93
0,20,16384,25.27
0,20,32768,44.85
0,20,65536,94.00
0,20,131072,167.13
0,20,262144,329.99
0,20,524288,654.02
0,20,1048576,1563.08
0,24,1,50.02
0,24,2,3.69
0,24,4,3.39
0,24,8,2.74
0,24,16,2.71
0,24,32,2.79
0,24,64,2.55
0,24,128,16.87
0,24,256,25.61
0,24,512,15.62
0,24,1024,25.20
0,24,2048,24.87
0,24,4096,42.35
0,24,8192,52.96
0,24,16384,26.48
0,24,32768,47.32
0,24,65536,99.46
0,24,131072,169.41
0,24,262144,342.62
0,24,524288,659.19
0,24,1048576,1309.71
0,28,1,42.19
0,28,2,2.63
0,28,4,2.19
0,28,8,2.50
0,28,16,2.93
0,28,32,3.50
0,28,64,2.86
0,28,128,14.45
0,28,256,27.97
0,28,512,15.60
0,28,1024,21.90
0,28,2048,24.45
0,28,4096,38.94
0,28,8192,48.82
0,28,16384,24.95
0,28,32768,50.63
0,28,65536,84.17
0,28,131072,171.45
0,28,262144,326.44
0,28,524288,676.38
0,28,1048576,987.73
0,32,1,1819.02
0,32,2,6.11
0,32,4,2.81
0,32,8,2.31
0,32,16,2.31
0,32,32,2.03
0,32,64,4.37
0,32,128,11.59
0,32,256,12.67
0,32,512,14.91
0,32,1024,16.56
0,32,2048,56.12
0,32,4096,37.72
0,32,8192,54.17
0,32,16384,24.27
0,32,32768,40.94
0,32,65536,73.22
0,32,131072,151.11
0,32,262144,264.09
0,32,524288,512.92
0,32,1048576,1033.25
0,36,1,451.89
0,36,2,6.27
0,36,4,3.83
0,36,8,4.19
0,36,16,3.80
0,36,32,3.83
0,36,64,4.78
0,36,128,14.35
0,36,256,13.89
0,36,512,17.32
0,36,1024,19.89
0,36,2048,61.66
0,36,4096,36.81
0,36,8192,52.55
0,36,16384,24.45
0,36,32768,34.80
0,36,65536,59.91
0,36,131072,119.04
0,36,262144,221.53
0,36,524288,366.81
0,36,1048576,773.80
0,40,1,7114.43
0,40,2,14.40
0,40,4,3.47
0,40,8,8.40
0,40,16,3.36
0,40,32,3.85
0,40,64,6.19
0,40,128,17.59
