Workers,Size,Walltime(s)
1,1000,156.981332
2,1000,78.712917
3,1000,97.989144
4,1000,65.471770
5,1000,65.118408
6,1000,49.264374
7,1000,47.609159
8,1000,39.738743
9,1000,37.383416
10,1000,32.693034
11,1000,30.709923
12,1000,27.584982
13,1000,26.307553
14,1000,23.817886
15,1000,23.052810
16,1000,21.151168
17,1000,20.415777
18,1000,19.010321
19,1000,18.398919
20,1000,17.018287
21,1000,16.719245
22,1000,15.469757
23,1000,14.978069
24,1000,14.461754
25,1000,13.958008
26,1000,13.194350
27,1000,12.918184
28,1000,12.498643
29,1000,11.889505
30,1000,11.523140
31,1000,11.213949
32,1000,10.838116
33,1000,10.503384
34,1000,10.177142
35,1000,10.183473
36,1000,9.799048
37,1000,9.477535
38,1000,9.147846
39,1000,9.148109
40,1000,8.763637
41,1000,8.445016
42,1000,8.450095
43,1000,8.113476
44,1000,8.141665
45,1000,7.747719
46,1000,7.783877
47,1000,7.414467
48,1000,7.424590
49,1000,7.096393
50,1000,7.085255
51,1000,7.078823
52,1000,6.770072
53,1000,6.783498
54,1000,6.804633
55,1000,6.477182
56,1000,6.478573
57,1000,6.569785
58,1000,6.204575
59,1000,6.227155
60,1000,6.259927
61,1000,5.900066
62,1000,5.910833
63,1000,5.939917
64,1000,5.941067
65,1000,5.559604
66,1000,5.560360
67,1000,5.564971
68,1000,5.566992
69,1000,5.570197
70,1000,5.194085
71,1000,5.197371
72,1000,5.197952
73,1000,5.203888
74,1000,5.208451
75,1000,4.844789
76,1000,4.843972
77,1000,4.846195
78,1000,4.847827
79,1000,4.843467
80,1000,4.845232
81,1000,4.469214
82,1000,4.469204
83,1000,4.472566
84,1000,4.467920
85,1000,4.468648
86,1000,4.471372
87,1000,4.474945
88,1000,4.106292
89,1000,4.107479
90,1000,4.118881
91,1000,4.121857
92,1000,4.127019
93,1000,4.122295
94,1000,4.123698
95,1000,4.130708
96,1000,3.727099
97,1000,3.727768
98,1000,3.727440
99,1000,3.726227
100,1000,3.724514
101,1000,3.726444
102,1000,3.728715
103,1000,3.733664
104,1000,3.735785
105,1000,3.743749
106,1000,3.387437
107,1000,3.390589
108,1000,3.390922
109,1000,3.389252
110,1000,3.397443
111,1000,3.399130
112,1000,3.399252
113,1000,3.397503
114,1000,3.395210
115,1000,3.399169
116,1000,3.395456
117,1000,3.396679
118,1000,3.405093
119,1000,3.030687
120,1000,3.029281
121,1000,3.033709
122,1000,3.040350
123,1000,3.045500
124,1000,3.044709
125,1000,3.052120
126,1000,3.051597
127,1000,3.053887
128,1000,3.051700
129,1000,3.052524
130,1000,3.056089
131,1000,3.055791
132,1000,3.055032
133,1000,3.057774
134,1000,2.883018
135,1000,2.682852
136,1000,2.694068
137,1000,2.688961
138,1000,2.686083
139,1000,2.682993
140,1000,2.678294
141,1000,2.671557
142,1000,2.670132
143,1000,2.667715
144,1000,2.667490
145,1000,2.664846
146,1000,2.661701
147,1000,2.662228
148,1000,2.664413
149,1000,2.664675
150,1000,2.665959
151,1000,2.667174
152,1000,2.665594
153,1000,2.668095
154,1000,2.674094
155,1000,2.498376
156,1000,2.385124
157,1000,2.289560
158,1000,2.289198
159,1000,2.285502
160,1000,2.285004
161,1000,2.281803
162,1000,2.283095
163,1000,2.279251
164,1000,2.279370
165,1000,2.279254
166,1000,2.276912
167,1000,2.279783
168,1000,2.283371
169,1000,2.279667
170,1000,2.279476
171,1000,2.280436
172,1000,2.276624
173,1000,2.281546
174,1000,2.278556
175,1000,2.283595
176,1000,2.283713
177,1000,2.283573
178,1000,2.284769
179,1000,2.287566
180,1000,2.283869
181,1000,2.286172
182,1000,2.288961
183,1000,2.288606
184,1000,2.102189
185,1000,1.998777
186,1000,1.905411
187,1000,1.910459
188,1000,1.909126
189,1000,1.909909
190,1000,1.908421
191,1000,1.908335
192,1000,1.908823
193,1000,1.909267
194,1000,1.908340
195,1000,1.908934
196,1000,1.908967
197,1000,1.910396
198,1000,1.910046
199,1000,1.906114
200,1000,1.909182
201,1000,1.912701
202,1000,1.912067
203,1000,1.911381
204,1000,1.908910
205,1000,1.909504
206,1000,1.912429
207,1000,1.910793
208,1000,1.912760
209,1000,1.911926
210,1000,1.909189
211,1000,1.906907
212,1000,1.908251
213,1000,1.911263
214,1000,1.910018
215,1000,1.907293
216,1000,1.909677
217,1000,1.912109
218,1000,1.907711
219,1000,1.910178
220,1000,1.914976
221,1000,1.914908
222,1000,1.917936
223,1000,1.920742
224,1000,1.917027
225,1000,1.790233
226,1000,1.745612
227,1000,1.662269
228,1000,1.638170
229,1000,1.578804
230,1000,1.548833
231,1000,1.549582
232,1000,1.552360
233,1000,1.547903
234,1000,1.554715
235,1000,1.551694
236,1000,1.553754
237,1000,1.555136
238,1000,1.557382
239,1000,1.557647
240,1000,1.604953
241,1000,1.560827
242,1000,1.560773
243,1000,1.562787
244,1000,1.561333
245,1000,1.658251
246,1000,1.560793
247,1000,1.566048
248,1000,1.566223
249,1000,1.566000
250,1000,1.562564
251,1000,1.569876
252,1000,1.566731
253,1000,1.568662
254,1000,1.569392
255,1000,1.564711
256,1000,1.572437
