Workers,Size,Walltime(s)
1,1000,65.490801
2,1000,39.807112
3,1000,27.872069
4,1000,21.214480
5,1000,16.996695
6,1000,14.411847
7,1000,12.442359
8,1000,11.189639
9,1000,9.813270
10,1000,8.766360
11,1000,8.108001
12,1000,7.397232
13,1000,7.067477
14,1000,6.392505
15,1000,6.030855
16,1000,5.690847
17,1000,5.347026
18,1000,4.988385
19,1000,4.986525
20,1000,4.655866
21,1000,4.301514
22,1000,4.301296
23,1000,3.964050
24,1000,3.957233
25,1000,3.625849
26,1000,3.615546
27,1000,3.629681
28,1000,3.285942
29,1000,3.272682
30,1000,3.272052
31,1000,3.279165
32,1000,2.930605
33,1000,2.941310
34,1000,2.935338
35,1000,2.939777
36,1000,2.581795
37,1000,2.582989
38,1000,2.582687
39,1000,2.583575
40,1000,2.592276
41,1000,2.590549
42,1000,2.239511
43,1000,2.247801
44,1000,2.251129
45,1000,2.236610
46,1000,2.238176
47,1000,2.251205
48,1000,2.237070
49,1000,2.252739
50,1000,1.905311
51,1000,1.904288
52,1000,1.905708
53,1000,1.895875
54,1000,1.905468
55,1000,1.891079
56,1000,1.894213
57,1000,1.890559
58,1000,1.887564
59,1000,1.890293
60,1000,1.898576
61,1000,1.888744
62,1000,1.890080
63,1000,1.541160
64,1000,1.539295
65,1000,2.072931
66,1000,2.059102
67,1000,2.050763
68,1000,2.065885
69,1000,2.082077
70,1000,2.071106
71,1000,2.087481
72,1000,2.079882
73,1000,2.111047
74,1000,2.127892
75,1000,2.137892
76,1000,2.143710
77,1000,2.134502
78,1000,2.146541
79,1000,2.159069
80,1000,2.144138
81,1000,2.136849
82,1000,2.134573
83,1000,2.144050
84,1000,1.810854
85,1000,1.805326
86,1000,1.790804
87,1000,1.793470
88,1000,1.795184
89,1000,1.793247
90,1000,1.794215
91,1000,1.803086
92,1000,1.794786
93,1000,1.593812
94,1000,1.612128
95,1000,1.613095
96,1000,1.610474
97,1000,1.604239
98,1000,1.618297
99,1000,1.606391
100,1000,1.623577
101,1000,1.623966
102,1000,1.635166
103,1000,1.645667
104,1000,1.648110
105,1000,1.651325
106,1000,1.662457
107,1000,1.643688
108,1000,1.639741
109,1000,1.651130
110,1000,1.636365
111,1000,1.629335
112,1000,1.642126
113,1000,1.641651
114,1000,1.630251
115,1000,1.629035
116,1000,1.630871
117,1000,1.633288
118,1000,1.644334
119,1000,1.645752
120,1000,1.659581
121,1000,1.665241
122,1000,1.666946
123,1000,1.675543
124,1000,1.667269
125,1000,1.322706
126,1000,1.331677
127,1000,1.323879
128,1000,1.544627
129,1000,1.720112
130,1000,1.719791
131,1000,1.717973
132,1000,1.718030
133,1000,1.723332
134,1000,1.714926
135,1000,1.715747
136,1000,1.711538
137,1000,1.722093
138,1000,1.717192
139,1000,1.718240
140,1000,1.719192
141,1000,1.718994
142,1000,1.733386
143,1000,1.734821
144,1000,1.729158
145,1000,1.719524
146,1000,1.721112
147,1000,1.722999
148,1000,1.728360
149,1000,1.722048
150,1000,1.733956
151,1000,1.725121
152,1000,1.728901
153,1000,1.727658
154,1000,1.744405
155,1000,1.729023
156,1000,1.753059
157,1000,1.747906
158,1000,1.762134
159,1000,1.747375
160,1000,1.757706
161,1000,1.738128
162,1000,1.750301
163,1000,1.741539
164,1000,1.751214
165,1000,1.743496
166,1000,1.744320
167,1000,1.758998
168,1000,1.763845
169,1000,1.746844
170,1000,1.770490
171,1000,1.756624
172,1000,1.749367
173,1000,1.763809
174,1000,1.750105
175,1000,1.747804
176,1000,1.745032
177,1000,1.741906
178,1000,1.741579
179,1000,1.751198
180,1000,1.762415
181,1000,1.743809
182,1000,1.760039
183,1000,1.746736
184,1000,1.744431
185,1000,1.745153
186,1000,1.765406
187,1000,1.750425
188,1000,1.751317
189,1000,1.749341
190,1000,1.748252
191,1000,1.768818
192,1000,2.243185
193,1000,2.419776
194,1000,2.422293
195,1000,2.420286
196,1000,2.437162
197,1000,2.417296
198,1000,2.415585
199,1000,2.425650
200,1000,2.411101
201,1000,2.431139
202,1000,2.429880
203,1000,2.418757
204,1000,2.419377
205,1000,2.436764
206,1000,2.421327
207,1000,2.440446
208,1000,2.420962
209,1000,2.422562
210,1000,2.437850
211,1000,2.423720
212,1000,2.421482
213,1000,2.423661
214,1000,2.423840
215,1000,2.425563
216,1000,2.426070
217,1000,2.436473
218,1000,2.448346
219,1000,2.431383
220,1000,2.448316
221,1000,2.452107
222,1000,2.464265
223,1000,2.446148
224,1000,2.442041
225,1000,2.449613
226,1000,2.444050
227,1000,2.441880
228,1000,2.445297
229,1000,2.447552
230,1000,2.455182
231,1000,2.447141
232,1000,2.466875
233,1000,2.447397
234,1000,2.466539
235,1000,2.464470
236,1000,2.449486
237,1000,2.463166
238,1000,2.465106
239,1000,2.451657
240,1000,2.442059
241,1000,2.440492
242,1000,2.442400
243,1000,2.444442
244,1000,2.457334
245,1000,2.443639
246,1000,2.445173
247,1000,2.446322
248,1000,2.108353
249,1000,1.751448
250,1000,1.399692
251,1000,1.413609
252,1000,1.399923
253,1000,1.407875
254,1000,1.400137
255,1000,1.413790
256,1000,1.559450
