Workers,Size,Walltime(s)
1,1000,158.094375
2,1000,78.820809
3,1000,98.069843
4,1000,65.608158
5,1000,65.094254
6,1000,49.220137
7,1000,47.571773
8,1000,39.731632
9,1000,37.360501
10,1000,32.644698
11,1000,30.798650
12,1000,27.507258
13,1000,26.243705
14,1000,23.715107
15,1000,22.962587
16,1000,21.195014
17,1000,20.325033
18,1000,18.921663
19,1000,18.293368
20,1000,16.900327
21,1000,16.613173
22,1000,15.384729
23,1000,14.913827
24,1000,14.397736
25,1000,13.913210
26,1000,13.133585
27,1000,12.883751
28,1000,12.444073
29,1000,11.837154
30,1000,11.470464
31,1000,11.159461
32,1000,10.787322
33,1000,10.450978
34,1000,10.110908
35,1000,10.111594
36,1000,9.754567
37,1000,9.433298
38,1000,9.088743
39,1000,9.092266
40,1000,8.701225
41,1000,8.392933
42,1000,8.388274
43,1000,8.058653
44,1000,8.059516
45,1000,7.715129
46,1000,7.716185
47,1000,7.370712
48,1000,7.366834
49,1000,6.997604
50,1000,7.001223
51,1000,7.001703
52,1000,6.686748
53,1000,6.688622
54,1000,6.687255
55,1000,6.340966
56,1000,6.334297
57,1000,6.338192
58,1000,6.001585
59,1000,6.002738
60,1000,6.004032
61,1000,5.652230
62,1000,5.650638
63,1000,5.654806
64,1000,5.657671
